Name,City,Latitude,Longitude,Diesel price 
M.R.RATHI,GHOTI,19.699256,73.602911,91.21
M.TAHERALI& CO,NASHIK,19.903869,73.831674,91.31
N.L.GANDHI & CO.,RAJUR,19.906137,73.700828,91.32
OM SERVICE STN.,NASHIK,19.997709,73.781593,91.28
PRAKASH AUTOMOBILES,NASHIK,19.983499,73.78224,91.28
SRI SADGURU AUTOMOBILES,"WAVI, SINNAR",19.80751,74.234107,91.02
VINOD AUTO,NASHIK,19.994786,73.762894,91.28
C.R.CONTRACTOR,VADAPPEI,19.344343,73.127291,90.41
C.P.SHAH & SONS,TALASIRI,20.124002,72.916427,91.24
J.K.& SONS,PURNANDI,19.257192,73.025955,90.24
KUNAL AUTOMOBILES,KHARBHAV,19.296858,72.995543,90.29
MONTGOMERY AUTOMOBILES,REHNALDI,19.264179,73.032064,90.26
R.MAYER IRANI,DAHANU,19.98828,72.750403,91.18
SUNDERLAL BENI PD.,BHIWANDI,19.296928,73.063043,90.35
Y C SHAH & CO,JAWAHAR,19.916957,73.231351,91.35
A.I.TRANSPORT,RAIGAD,18.538016,73.138769,90.87
ABOOBAKAR & CO.,TALOJA,19.07122,73.089586,90.35
A.G.JAJAL & SONS,PANVEL,18.971843,73.130903,90.28
AMOL AUTOMOBILES,SHEDUNG,18.951748,73.174787,90.35
AIROLI SERVICE CENTRE,NAVI MUMBAI,19.148925,72.999725,90.18
DHARAMTAR MOTOR STORES,WADKHAL,18.709932,73.050345,90.64
GURUGOBIND MOTORS,NADHAL,18.902469,73.221981,90.48
HIGHWAY AUTO SERVICE,MAHAD,18.085645,73.438717,91.57
VIMAL PATIL AUTO SERVICE,NAGOTHANE,18.568718,73.099094,90.87
DRONAGIRI SERVICE CENTRE,DRONAGIRI,18.901054,73.006379,90.33
KRISHNA PETROLEUM CENTRE,KALAMBOLI,19.017976,73.11253,90.23
KAJAL AUTOMOBILES,ULHASNAGAR,19.228271,73.153771,90.51
K .M.SUCHAK,NAVI MUMBAI,19.118156,73.006715,90.15
K.T.TRADING,AMBERNATH,19.207263,73.197133,90.48
NAVDA SERVICE STATION,TALOJA,19.056195,73.106353,90.26
POLADPUR AUTO CENTRE,POLADPUR,17.982133,73.465513,91.62
ROSHAN AUTO SERVICE,SHAHAD,19.241562,73.148808,90.43
SAGEER BROTHERS,URAN,18.880078,72.946419,90.33
TURBHE SERVICE CENTRE,NAVI MUMBAI,19.067837,73.014338,90.11
UNIVERSAL AUTO,NAVI MUMBAI,19.095947,73.006051,90.11
VAIBHAO AUTOMOBILES,KHOLKA,18.966234,73.138884,90.32
VICTORY AUTOMOBILES,KALAMBOLI,19.014641,73.106277,90.23
MILLAN PETROLEUM,KANHEPHATA,18.754873,73.601265,90.72
ASHOK AUTO MOBILES,WALIV,19.414058,72.875543,90.41
BASSEIN PETROL SUPPLY CO A/C VIRAR,VIRAR,19.452121,72.807965,90.57
BASSEIN PETROL SUPPLY CO,VASAI,19.376371,72.826458,90.54
BHARAT PETROL SUPPLY CO,BASEIN,19.346377,72.808039,90.67
C.T.PARIKH SERVICE CENTRE,BOISAR,19.810792,72.742415,91.08
C.T.PARIKH AGENCY,PALGHAR,19.699273,72.762029,90.99
DAHISAR SERVICE STATON,MIRA AND BHAYANDER,19.271715,72.88125,90.24
DODHIA PETROL SUPPLY CO,MIRA AND BHAYANDER,19.274714,72.887105,90.24
GANESH AUTOMOBILES,THANE,19.202787,72.975983,90.15
LAXMI AUTOMOBILES,THANE,19.235157,72.976355,90.15
PANKAJ AUTO CENTRE,MANOR,19.722024,72.932429,90.81
SAI SERVICE CENTRE,MIRA AND BHAYANDER,19.290766,72.862836,90.27
SNEH ENTERPRIESE,PELHAR VASAI,19.444036,72.881366,90.41
VISHRAM SERVICE CENTRE,BAPANE VILL,19.358792,72.892339,90.4
UNIVERSAL SERVICE CENTRE,THANE,19.214985,72.97733,90.15
YESH SERVICE CENTER,KUDE NH8,19.657195,72.905914,90.71
CHANDAN SER. STN.,BHIWANDI,19.3076044,73.0652281,90.35
HEMKUNT AUTOMOBILES,KALOTE,18.849055,73.278063,90.57
